Designator,Val,Mid X,Mid Y,Rotation,Layer
R43,1k,65.849500,-102.235000,0.000000,top
R44,10k,61.277500,-64.897000,270.000000,top
R45,10k,61.277500,-27.838500,270.000000,top
R46,10k,61.277500,-79.629000,90.000000,top
R47,10k,40.703500,-35.179000,90.000000,top
R48,3k,65.849500,-98.933000,0.000000,top
R49,3k,65.849500,-103.759000,0.000000,top
R50,100,59.499500,-83.159500,270.000000,top
R51,100,38.925500,-38.760500,270.000000,top
R52,0,57.975500,-83.185000,90.000000,top
R53,0,37.401500,-38.735000,270.000000,top
R54,0,58.229500,-75.565000,270.000000,top
R55,0,37.401500,-31.115000,270.000000,top
R56,100,59.753500,-75.590500,270.000000,top
R57,100,38.925500,-31.140500,270.000000,top
R58,10k,40.703500,-27.559000,270.000000,top
R59,10k,61.531500,-72.009000,270.000000,top
R60,10k,61.277500,-50.165000,90.000000,top
R61,100,59.499500,-53.746500,270.000000,top
R62,0,57.975500,-53.746500,90.000000,top
R63,0,57.975500,-46.101000,270.000000,top
R64,100,59.499500,-46.101000,270.000000,top
R65,10k,61.277500,-42.545000,270.000000,top
R66,10k,40.703500,-64.643000,90.000000,top
R67,0,61.658500,-90.805000,180.000000,top
R68,0,61.658500,-92.329000,0.000000,top
R69,0,61.658500,-109.093000,180.000000,top
R70,0,61.658500,-110.617000,180.000000,top
R71,100,38.925500,-68.224500,270.000000,top
R72,0,37.401500,-68.199000,90.000000,top
R73,0,57.594500,-91.567000,90.000000,top
R74,0,57.594500,-109.855000,90.000000,top
R75,0,37.401500,-60.579000,270.000000,top
R76,0,76.746000,-64.643000,180.000000,top
R77,0,76.797000,-70.231000,0.000000,top
R78,0,76.771500,-76.073000,180.000000,top
R79,100,38.925500,-60.579000,270.000000,top
R80,10k,40.703500,-56.997500,270.000000,top
R81,0,76.746000,-63.119000,0.000000,top
R82,0,76.771500,-68.707000,180.000000,top
R83,0,76.746000,-74.549000,0.000000,top
R84,10k,40.703500,-79.375000,90.000000,top
R85,100,38.925500,-82.931000,270.000000,top
R86,0,37.401500,-82.956500,90.000000,top
R87,0,37.401500,-75.311000,270.000000,top
R88,100,38.925500,-75.311000,270.000000,top
R89,10k,40.703500,-71.755000,270.000000,top
R90,10k,40.703500,-49.911000,90.000000,top
R91,100,38.925500,-53.467000,270.000000,top
R92,0,76.746000,-81.153000,180.000000,top
R93,0,76.746000,-86.741000,0.000000,top
R94,0,76.771500,-92.583000,180.000000,top
R95,0,37.401500,-53.467000,90.000000,top
R96,0,37.401500,-45.847000,270.000000,top
R97,0,76.771500,-79.629000,0.000000,top
R98,0,76.771500,-85.217000,180.000000,top
R99,0,76.771500,-91.059000,0.000000,top
R100,100,38.925500,-45.847000,270.000000,top
